# Monsters missing core stats (post-dedup + post-backfill)
# 271 rows. cols: name | id | missing | source
# residual = wiki infobox has no machine-readable stat fields (group/index pages, body-table stats)

lizard	901210	hit_dice,thac0,xp_value	MC1 Monstrous Compendium Volume One (2102) Mo
lizard (mystara)	901211	hit_dice,thac0,xp_value	Monstrous Compendium Mystara Appendix (2501)
lizard kin (savage coast)	901215	hit_dice,thac0,xp_value	Monstrous Compendium Savage Coast Appendix (2
lizard-kin (mystara)	901214	hit_dice,thac0,xp_value	Monstrous Compendium Mystara Appendix (2501)
lumineaux	901223	thac0	MC7 Monstrous Compendium Spelljammer Appendix
lycanthrope, general	178	hit_dice,xp_value	
lycanthrope, wererat lord	902181	thac0	Dungeon Issue #62
lyra bird, saragòn	901664	thac0	Monstrous Compendium Savage Coast Appendix (2
magen	901240	hit_dice,thac0,xp_value	Monstrous Compendium Mystara Appendix (2501)
mammal	188	hit_dice,xp_value	
mammal, herd ii	900985	hit_dice,thac0,xp_value	Monstrous Compendium Annual Volume Two (2158)
mammal, minimal	901311	hit_dice,thac0,xp_value	MC2 Monstrous Compendium Volume II (2103)
mammal, small	190	hit_dice,xp_value	
man-drake	901253	thac0	Dragon Magazine Issue #156
manikin	901257	thac0	Monstrous Compendium Mystara Appendix (2501)
meme	901287	thac0	A Guide to the Ethereal Plane (2633)
mind flayer (illithid)	197	hit_dice	
minor animator	901316	thac0	Monstrous Compendium Ravenloft Appendix III: 
misi	901319	thac0	MC7 Monstrous Compendium Spelljammer Appendix
modron	901327	hit_dice,thac0,xp_value	Planescape: Campaign Setting (2600)
moigno	901328	thac0	Planescape: Planes of Law (2607)
moilian heart	901329	thac0	Return to the Tomb of Horrors (1162)
mold	901331	thac0	adnd2e.fandom.com
mold ii	901332	thac0	adnd2e.fandom.com
mold, chromatic	900349	thac0	Monstrous Compendium Annual Volume Four (2173
mongrelman, infiltrator	901333	thac0	Polyhedron Newszine 121
mummy, creature	900396	thac0	adnd2e.fandom.com
mythuínn folk	901367	hit_dice	Monstrous Compendium Savage Coast Appendix (2
nay-churr	901380	thac0	MC7 Monstrous Compendium Spelljammer Appendix
night rider	901403	thac0	FRE3 Waterdeep (9249)
nightmare court, the	901984	hit_dice,thac0,xp_value	The Nightmare Lands (1124)
nixie (water sprite)	901412	hit_dice	MC1 Monstrous Compendium Volume One (2102)
nosferatu	901422	thac0	Monstrous Compendium Savage Coast Appendix (2
obedient	901429	thac0	Monstrous Compendium Ravenloft Appendix III: 
odem	901435	thac0	Ravenloft: Realm of Terror (1053) Monstrous C
ooze/slime/jelly i	901450	hit_dice,thac0,xp_value	Monstrous Manual (2140) MC2 Monstrous Compend
ooze/slime/jelly ii	901451	hit_dice,thac0,xp_value	Monstrous Manual (2140) MC2 Monstrous Compend
orbus	901455	thac0	Spelljammer: Adventures in Space (1049)
pack of the wild hunt	901469	xp_value	Legends & Lore
paka	901471	thac0	Monstrous Compendium Ravenloft Appendix III: 
palimpsest	901473	thac0	Monstrous Compendium Annual Volume Two (2158)
paraelemental	901477	hit_dice,thac0,xp_value	Monstrous Compendium Planescape: Appendix III
parasite	901480	hit_dice,thac0,xp_value	Al-Qadim: City of Delights (1091) Monstrous C
parasite (savage coast)	901481	thac0	Monstrous Compendium Savage Coast Appendix (2
pasocada ghost	901484	thac0	FMQ1 City of Gold (9349)
pedipalp	901487	hit_dice,thac0,xp_value	FOR2 The Drow of the Underdark (9326)
phlog-crawler	901506	thac0	MC7 Monstrous Compendium Spelljammer Appendix
phouka	901507	thac0	HR3 Celts Campaign Sourcebook (9376)
piranha	901511	hit_dice	adnd2e.fandom.com
piranha ant	901512	thac0	Dragon Magazine Annual 1998
plague moth	901352	xp_value	Dragon Magazine Issue #238
plant (savage coast)	901519	hit_dice,thac0,xp_value	Monstrous Compendium Savage Coast Appendix (2
plant, intelligent	901073	hit_dice,thac0,xp_value	Monstrous Manual (2140) MC2 Monstrous Compend
plant, vampire moss	902092	thac0	Monstrous Compendium Annual Volume One (2145)
pleistocene animal	900069	hit_dice,thac0,xp_value	MC3 Monstrous Compendium Forgotten Realms App
poisonous eel	901526	hit_dice	LNA2 Nehwon (9305)
porcupine	901529	hit_dice	adnd2e.fandom.com
porton	901530	thac0	SJR6 Greyspace (9374)
power symbiont	901533	thac0	MC7 Monstrous Compendium Spelljammer Appendix
pseudo-familiar	901540	thac0	Monstrous Compendium Ravenloft Appendix III: 
pudding, deadly	900452	hit_dice,thac0,xp_value	Monstrous Manual (2140) MC2 Monstrous Compend
quakedancer	901560	thac0	Dragon Magazine Issue #180
quasielemental, negative	901387	hit_dice,thac0,xp_value	Monstrous Compendium Planescape: Appendix III
quasielemental, positive	901532	hit_dice,thac0,xp_value	Monstrous Compendium Planescape: Appendix III
rabbiun (creature)	901569	hit_dice	A Guide to the Ethereal Plane (2633)
raggamoffyn	901575	hit_dice,thac0,xp_value	Monstrous Compendium Annual Volume Two (2158)
ravenous	901590	thac0	The Scarlet Brotherhood (11374)
ring-worm	901621	thac0	MC11 Monstrous Compendium Forgotten Realms Ap
rohch	901630	hit_dice,thac0,xp_value	MC11 Monstrous Compendium Forgotten Realms Ap
saurial	901668	hit_dice,thac0,xp_value	MC11 Monstrous Compendium Forgotten Realms Ap
scarlet dancer (mist)	901676	thac0	adnd2e.fandom.com
shadeling	901714	thac0	Monstrous Compendium Annual Volume One (2145)
shapeshifter	901736	hit_dice,thac0,xp_value	Monstrous Compendium Mystara Appendix (2501)
shimmerweed	901752	thac0	MC4 Monstrous Compendium Dragonlance Appendix
silver dog	901768	thac0	MC11 Monstrous Compendium Forgotten Realms Ap
skeleton, variant	902100	hit_dice,thac0,xp_value	Monstrous Compendium Annual Volume Four (2173
slaad	901802	hit_dice,thac0,xp_value	Monstrous Manual (2140) Monstrous Compendium 
slinker	901807	hit_dice	MC7 Monstrous Compendium Spelljammer Appendix
small cats	901815	hit_dice	adnd2e.fandom.com
snake	901820	hit_dice,thac0,xp_value	Monstrous Manual (2140) MC2 Monstrous Compend
sorrow	901831	thac0	LC3 Nightwatch in the Living City (9316)
spectator (beholder-kin)	901841	thac0	Monstrous Manual (2140)
spectral awnshegh	901842	thac0	Blood Spawn (3140)
spectral minion	901847	thac0	MC4 Monstrous Compendium Dragonlance Appendix
sphinx	901852	hit_dice,thac0,xp_value	Monstrous Manual (2140) MC2 Monstrous Compend
spider	901854	hit_dice,thac0,xp_value	Monstrous Manual (2140) MC2 Monstrous Compend
spider, xakhun	902241	hit_dice,thac0,xp_value	Dragon Magazine #244
spider-kin	901859	hit_dice,thac0,xp_value	Monstrous Compendium Mystara Appendix (2501)
spirit warrior	901870	thac0	adnd2e.fandom.com
spirit, heroic	900988	thac0	Monstrous Compendium Savage Coast Appendix (2
spirit, walleran	902138	hit_dice,thac0,xp_value	Monstrous Compendium Savage Coast Appendix (2
spirits, minor	901872	hit_dice,thac0,xp_value	Shaman (9507)
spyder-fiend	901877	hit_dice,thac0,xp_value	Tomes: The Rod of Seven Parts (1145) Monstrou
squeaker	901879	hit_dice	Dragon Mountain (1089)
starfly plant	901887	thac0	MC9 Monstrous Compendium Spelljammer Appendix
statue, living	901205	hit_dice,thac0,xp_value	Monstrous Compendium Mystara Appendix (2501)
strangleweed	901908	thac0	WGA2 Falconmaster (9289)
talisman servant	901943	hit_dice,thac0,xp_value	Dragon Magazine Issue #242
the calnar horse	900297	hit_dice	Dwarven Kingdoms of Krynn (1086)
the viscount of minauros	900138	xp_value	Dragon Magazine 223
thessalmonster	901992	hit_dice,thac0,xp_value	MC3 Monstrous Compendium Forgotten Realms App
trilloch	902026	thac0	Monstrous Compendium Planescape: Appendix III
tropical mammals	902032	hit_dice,thac0,xp_value	Dungeon Issue #56
twill (pocket rat)	902046	hit_dice	Dragon Issue #269
tylor	902048	thac0	MC4 Monstrous Compendium Dragonlance Appendix
tymher-haid	902049	thac0	Dragon Magazine Issue #186
urchin	902071	hit_dice,thac0,xp_value	Monstrous Manual (2140) MC2 Monstrous Compend
vagabond	902086	thac0	PHBR5 The Complete Psionics Handbook (2117)
vampire	277	xp_value	
villichi	902111	thac0	MC12 Monstrous Compendium Dark Sun Appendix I
waff	902134	thac0	Blood Spawn (3140)
webbird	902161	hit_dice	adnd2e.fandom.com
whale	902191	hit_dice,thac0,xp_value	Monstrous Manual (2140)
witchlight marauder	902221	hit_dice,thac0,xp_value	MC9 Monstrous Compendium Spelljammer Appendix
worm	902226	hit_dice,thac0,xp_value	Monstrous Manual (2140) MC2 Monstrous Compend
worm (mystara)	902227	hit_dice,thac0,xp_value	Monstrous Compendium Mystara Appendix (2501)
zombie fog	902280	thac0	adnd2e.fandom.com
zurchin	902286	xp_value	MC9 Monstrous Compendium Spelljammer Appendix
